Sample_ID,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
sample_1,0,1,25,40,60,0,12,25,40,60,0,12,25,40,60,0,12,25,40,60,0,12,25,40,60,0,12,25,40,60,0,12,25,40,60,0,12,25,40,60,0,12,25,40,60,0,12,25,40,60
sample_2,5,0,30,45,75,5,0,30,45,75,5,0,30,45,75,5,0,30,45,75,5,0,30,45,75,5,0,30,45,75,5,0,30,45,75,5,0,30,45,75,5,0,30,45,75,5,0,30,45,75
sample_3,10,15,0,50,80,10,15,0,50,80,10,15,0,50,80,10,15,0,50,80,10,15,0,50,80,10,15,0,50,80,10,15,0,50,80,10,15,0,50,80,10,15,0,50,80,10,15,0,50,80
sample_4,20,18,35,0,90,20,18,35,0,90,20,18,35,0,90,20,18,35,0,90,20,18,35,0,90,20,18,35,0,90,20,18,35,0,90,20,18,35,0,90,20,18,35,0,90,20,18,35,0,90
sample_5,25,22,40,55,0,25,22,40,55,0,25,22,40,55,0,25,22,40,55,0,25,22,40,55,0,25,22,40,55,0,25,22,40,55,0,25,22,40,55,0,25,22,40,55,0,25,22,40,55,0
sample_6,30,28,45,60,5,30,28,45,60,5,30,28,45,60,5,30,28,45,60,5,30,28,45,60,5,30,28,45,60,5,30,28,45,60,5,30,28,45,60,5,30,28,45,60,5,30,28,45,60,5
sample_7,0,32,50,70,10,0,32,50,70,10,0,32,50,70,10,0,32,50,70,10,0,32,50,70,10,0,32,50,70,10,0,32,50,70,10,0,32,50,70,10,0,32,50,70,10,0,32,50,70,10
sample_8,8,0,55,75,15,8,0,55,75,15,8,0,55,75,15,8,0,55,75,15,8,0,55,75,15,8,0,55,75,15,8,0,55,75,15,8,0,55,75,15,8,0,55,75,15,8,0,55,75,15
sample_9,12,18,0,80,20,12,18,0,80,20,12,18,0,80,20,12,18,0,80,20,12,18,0,80,20,12,18,0,80,20,12,18,0,80,20,12,18,0,80,20,12,18,0,80,20,12,18,0,80,20
sample_10,15,1,25,0,25,15,20,25,0,25,15,20,25,0,25,15,20,25,0,25,15,20,25,0,25,15,20,25,0,25,15,20,25,0,25,15,20,25,0,25,15,20,25,0,25,15,20,25,0,25
